#0:
>0:38.07,114.92;40.82,116.23;35.96,116.46;35.01,115.6;33.71,115.44;28.97,115.97;
#1:
>0:37.93,117.58;36.32,117.69;
#2:
>0:31.18,116.31;28.64,117.23;
#3:
>0:28.39,116.91;28.94,116.32;29.63,115.36;
#4:
>0:31.84,115.85;33.44,115.74;
#5:
>0:27.66,117.66;31.49,117.85;
#6:
>0:36.38,118.05;33.8,117.4;31.81,117.24;31.12,116.51;28.06,115.07;
#7:
>0:32.5,114.42;34.34,113.92;35.62,114.8;32.63,115.64;28.0,117.3;
#8:
>0:34.95,114.93;32.46,115.8;37.48,115.95;
#9:
>0:38.52,115.12;35.97,114.64;34.98,115.37;32.76,114.79;30.05,114.64;
#10:
>0:37.47,116.07;35.84,116.48;32.32,117.28;31.24,117.08;
#11:
>0:31.06,117.6;32.97,117.96;33.69,116.69;37.14,117.5;
#12:
>0:27.96,114.1;30.39,114.53;28.03,115.32;32.41,115.98;
#13:
>0:31.39,115.25;33.35,116.45;35.68,116.75;37.8,117.87;
#14:
>0:38.58,117.58;37.61,117.39;
#15:
>0:37.11,115.35;35.31,116.32;33.29,117.14;31.63,117.37;
