#0:
>0:38.31,116.32;36.81,116.32;
#1:
>0:39.54,116.3;37.91,116.29;37.21,116.28;36.16,116.29;34.58,116.27;
#2:
>0:34.45,116.32;35.82,116.33;36.52,116.31;36.96,116.31;39.79,116.32;
#3:
>0:33.9,116.29;34.84,116.29;35.43,116.3;
#4:
>0:33.84,116.32;34.89,116.3;35.54,116.3;37.42,116.29;37.26,116.28;39.92,116.28;
#5:
>0:35.23,116.33;36.52,116.32;37.1,116.31;38.78,116.33;39.35,116.31;
#6:
>0:33.71,116.32;34.8,116.33;34.43,116.32;36.88,116.33;
#7:
>0:39.6,116.32;39.22,116.32;39.93,116.3;39.54,116.29;38.59,116.29;40.29,116.27;
#8:
>0:39.79,116.33;38.77,116.32;38.75,116.3;38.73,116.3;37.89,116.28;35.96,116.27;
#9:
>0:35.45,116.32;34.73,116.32;34.12,116.32;33.8,116.3;33.94,116.3;34.75,116.27;
