#0:
>0:40.02,117.11;40.0,116.89;40.06,116.81;
#1:
>0:40.14,116.39;40.09,116.38;40.13,116.58;40.14,116.73;
#2:
>0:40.09,116.81;40.11,116.9;40.08,116.92;40.04,116.94;39.96,116.81;
#3:
>0:40.08,116.74;40.08,116.63;40.02,116.57;40.11,116.34;
#4:
>0:40.04,116.86;39.98,116.81;39.97,116.96;
#5:
>0:40.09,116.85;40.11,116.74;
#6:
>0:40.13,116.43;40.09,116.42;40.11,116.46;40.05,116.76;
#7:
>0:40.03,116.87;40.06,116.78;40.11,116.61;40.09,116.58;
#8:
>0:40.07,116.8;40.05,116.71;39.98,116.58;39.98,116.41;
#9:
>0:39.97,116.88;39.96,116.76;39.99,116.7;40.03,116.54;
#10:
>0:40.09,116.56;40.12,116.57;40.12,116.59;40.17,117.01;
#11:
>0:39.99,116.45;39.99,116.51;40.02,116.75;40.01,116.81;39.97,116.94;39.99,117.05;
