#0:
>0:40.06,116.24;40.06,116.26;40.04,116.3;40.01,116.33;
#1:
>0:40.03,116.3;40.05,116.31;
#2:
>0:39.99,116.2;39.98,116.25;40.0,116.23;40.01,116.21;40.03,116.17;40.07,116.25;
#3:
>0:40.0,116.21;40.02,116.24;40.03,116.26;40.05,116.27;40.03,116.33;
#4:
>0:39.99,116.25;40.0,116.27;40.02,116.28;40.03,116.33;40.05,116.31;40.06,116.32;
#5:
>0:40.04,116.2;40.02,116.23;40.02,116.28;40.02,116.3;40.02,116.31;
#6:
>0:39.98,116.24;40.0,116.27;39.99,116.28;
#7:
>0:40.01,116.22;40.01,116.23;40.02,116.26;
#8:
>0:40.06,116.27;40.05,116.29;40.06,116.32;
#9:
>0:39.98,116.32;40.0,116.32;40.0,116.26;
#10:
>0:40.05,116.17;40.05,116.21;40.03,116.19;39.99,116.22;
#11:
>0:40.0,116.28;40.02,116.26;39.98,116.25;
#12:
>0:40.01,116.26;40.02,116.25;40.03,116.22;40.05,116.21;40.06,116.2;
#13:
>0:40.03,116.31;40.01,116.28;40.02,116.25;40.02,116.2;40.02,116.2;
#14:
>0:40.04,116.32;40.06,116.31;40.03,116.28;
#15:
>0:40.02,116.21;39.99,116.22;39.98,116.24;39.98,116.29;
