#0:
>0:23.26,119.63;28.14,118.71;29.65,119.97;32.91,120.02;
#1:
>0:33.98,118.24;30.78,116.8;27.04,115.78;27.62,113.96;
#2:
>0:30.55,119.28;32.61,121.39;
#3:
>0:38.55,116.85;37.56,116.79;
#4:
>0:37.29,116.35;39.33,116.92;
#5:
>0:30.43,116.6;33.73,117.29;35.22,114.15;
#6:
>0:38.4,116.32;39.9,116.51;
#7:
>0:32.63,116.28;29.7,116.21;31.37,118.07;37.17,120.61;
#8:
>0:39.63,115.08;38.1,117.23;35.84,118.01;30.76,117.95;
#9:
>0:37.7,117.18;38.85,117.14;
#10:
>0:38.96,116.88;37.81,117.3;
#11:
>0:39.81,116.99;39.97,116.02;
#12:
>0:27.59,120.76;27.41,118.98;25.55,119.23;27.64,116.96;
#13:
>0:38.32,116.56;37.87,117.18;
#14:
>0:25.84,117.45;27.61,118.75;30.94,119.63;29.72,118.06;36.4,119.31;
#15:
>0:39.7,116.39;39.96,116.8;
#16:
>0:39.03,117.25;39.6,116.03;
#17:
>0:32.49,119.87;32.33,118.6;
#18:
>0:30.11,117.45;32.41,119.73;32.51,117.63;38.46,119.59;
#19:
>0:37.93,116.57;37.69,117.33;
#20:
>0:37.9,116.69;39.26,116.2;
#21:
>0:36.74,118.85;38.02,120.49;
#22:
>0:38.31,116.26;39.71,116.37;
#23:
>0:40.04,116.88;39.82,117.15;
#24:
>0:31.56,115.56;29.69,115.38;26.44,116.05;25.21,115.82;
#25:
>0:29.99,116.64;34.06,117.39;34.45,114.23;
#26:
>0:39.77,116.82;37.39,117.03;
#27:
>0:35.17,116.14;33.17,114.83;
#28:
>0:37.49,116.34;38.52,116.52;
#29:
>0:37.63,116.58;39.06,116.62;
#30:
>0:39.14,116.36;39.59,116.28;
#31:
>0:38.54,117.07;37.98,116.32;
#32:
>0:37.49,118.87;37.41,119.5;
#33:
>0:27.7,113.36;31.39,113.56;32.63,114.9;33.79,113.85;38.86,117.02;
#34:
>0:38.75,116.4;38.82,116.35;
#35:
>0:24.84,119.37;26.09,117.56;31.42,119.45;28.86,117.64;35.01,119.03;
#36:
>0:37.5,116.2;38.56,116.73;
#37:
>0:37.81,116.36;39.26,116.98;
#38:
>0:23.14,118.27;27.41,117.85;28.98,118.9;32.69,117.5;
#39:
>0:39.48,117.32;37.45,117.33;
#40:
>0:37.81,116.83;38.96,117.07;
#41:
>0:31.23,116.49;26.25,115.3;26.6,113.53;
#42:
>0:38.95,121.35;35.0,119.65;33.63,118.55;29.74,116.07;27.39,117.21;25.39,116.06;
#43:
>0:37.45,116.84;39.17,116.25;
#44:
>0:38.0,116.29;38.48,116.49;
#45:
>0:39.86,117.33;35.83,115.38;
#46:
>0:39.87,116.42;38.52,116.85;
#47:
>0:39.36,116.5;37.26,117.34;
#48:
>0:39.74,116.9;39.14,116.08;
#49:
>0:30.23,117.83;31.83,119.78;35.21,119.82;
#50:
>0:23.13,114.23;24.42,113.38;
#51:
>0:37.34,117.04;37.67,116.43;
#52:
>0:37.33,116.07;37.92,116.13;
#53:
>0:38.84,118.01;34.92,116.79;32.98,116.82;33.32,113.85;
#54:
>0:29.5,114.07;31.6,115.77;34.61,115.72;39.23,115.93;
#55:
>0:38.81,117.2;39.6,117.34;
#56:
>0:37.68,116.76;37.55,117.18;
#57:
>0:38.4,117.34;39.86,117.37;
#58:
>0:24.43,113.89;28.6,115.5;24.78,115.57;23.17,118.46;
#59:
>0:25.22,114.02;24.3,114.05;
#60:
>0:23.85,119.54;25.87,120.97;30.41,120.7;32.22,120.76;
#61:
>0:25.43,114.16;23.89,115.66;26.74,117.15;31.2,117.37;33.79,116.09;39.86,116.4;
#62:
>0:37.27,116.45;38.66,116.59;
#63:
>0:37.97,118.96;36.7,120.82;31.98,120.81;30.8,119.28;26.09,117.28;
#64:
>0:39.78,116.1;38.71,116.71;
#65:
>0:30.04,117.16;33.06,117.36;32.32,117.86;38.03,118.46;
#66:
>0:32.09,114.61;31.58,113.9;
#67:
>0:37.92,118.11;36.56,118.86;31.77,121.22;30.94,120.64;26.74,121.13;
#68:
>0:38.33,116.69;38.86,116.63;
#69:
>0:37.37,116.11;39.84,116.04;
#70:
>0:39.97,116.34;37.51,116.04;
#71:
>0:30.87,121.1;31.92,119.79;31.13,117.68;32.59,117.3;
#72:
>0:29.1,121.16;30.18,121.21;
#73:
>0:36.09,117.42;37.95,120.11;38.48,121.01;
#74:
>0:38.58,116.8;39.62,116.3;
#75:
>0:34.75,115.08;34.23,116.91;31.19,117.84;27.08,120.0;28.11,120.41;
#76:
>0:38.39,116.17;35.45,115.58;
#77:
>0:35.2,114.03;32.99,113.66;36.42,114.86;38.68,116.64;34.84,118.2;36.68,120.24;
#78:
>0:37.58,116.52;38.37,116.1;
#79:
>0:35.84,115.33;34.36,117.33;30.68,117.54;26.83,119.42;27.0,120.6;
#80:
>0:33.53,117.31;35.4,118.09;
#81:
>0:39.22,121.01;39.38,119.29;38.39,117.82;36.92,116.79;31.78,115.27;39.52,114.16;
#82:
>0:38.05,116.82;39.24,116.86;
#83:
>0:26.55,114.97;28.74,114.96;
#84:
>0:29.29,117.15;32.73,117.66;
#85:
>0:36.61,115.84;33.53,117.16;31.49,118.71;28.54,119.64;28.1,120.38;
#86:
>0:38.1,116.49;37.78,116.89;
#87:
>0:31.85,119.63;35.11,118.06;
#88:
>0:40.06,117.26;38.41,117.02;
#89:
>0:39.16,113.83;37.06,114.88;36.84,116.68;37.64,116.4;35.58,117.67;34.65,121.44;
#90:
>0:37.61,116.03;39.92,117.04;
#91:
>0:33.96,116.17;32.44,117.38;
#92:
>0:29.5,116.08;34.05,115.79;35.66,115.63;40.09,114.99;
#93:
>0:33.65,116.35;29.09,115.71;33.77,116.76;38.11,116.04;
#94:
>0:32.23,114.07;31.24,114.39;28.13,113.31;24.6,113.29;
#95:
