#0:
>0:39.58,116.72;39.54,116.32;39.42,116.58;
#1:
>0:39.59,116.34;39.5,116.97;39.37,117.14;
#2:
>0:39.55,117.22;39.62,117.57;39.68,118.3;
#3:
>0:39.85,116.6;39.89,116.94;39.77,117.21;39.8,118.08;39.75,118.25;39.54,118.56;
#4:
>0:39.41,117.84;39.47,117.45;39.57,116.73;39.67,116.43;39.75,116.73;39.88,116.44;
#5:
>0:39.45,118.42;39.75,118.52;39.45,117.63;
#6:
>0:39.38,118.27;39.5,117.87;39.61,117.21;39.76,116.76;39.92,116.95;
#7:
>0:39.8,118.25;39.64,118.48;39.48,117.31;
#8:
>0:39.8,117.59;39.81,117.29;39.82,117.0;
#9:
>0:39.7,116.79;39.57,117.28;39.45,117.75;
#10:
>0:39.57,118.39;39.76,118.4;39.85,117.98;
