#0:
>0:31.56,119.16;32.28,118.64;34.38,117.35;
#1:
>0:30.65,120.44;32.96,120.5;31.69,119.07;32.87,118.56;30.86,116.83;
#2:
>0:32.26,118.52;32.21,119.91;31.25,120.89;
#3:
>0:30.89,117.48;33.72,118.87;34.49,119.51;
#4:
>0:38.33,119.92;36.8,118.72;37.78,118.03;37.93,116.65;
#5:
>0:33.79,121.27;35.62,121.71;37.09,120.41;35.93,118.79;
#6:
>0:32.67,120.97;33.26,120.9;33.27,119.09;
#7:
>0:31.25,116.96;33.35,116.34;33.9,117.87;36.24,119.05;
#8:
>0:32.41,120.21;34.91,119.27;35.76,118.76;35.37,117.3;
#9:
>0:32.82,116.5;34.74,117.99;33.64,118.37;32.73,119.63;33.32,120.14;36.09,120.97;
#10:
>0:31.67,119.48;31.78,120.06;33.4,120.77;36.11,120.23;
#11:
>0:39.45,118.81;38.17,119.14;36.3,120.09;
#12:
>0:40.76,116.61;37.26,117.81;36.27,118.71;33.97,119.65;
