#0:
>0:39.87,116.64;39.89,116.58;
#1:
>0:39.86,116.51;39.9,116.5;39.97,116.48;39.98,116.54;40.04,116.43;
#2:
>0:39.92,116.46;39.91,116.5;
#3:
>0:39.88,116.6;39.89,116.52;39.92,116.54;39.95,116.49;39.98,116.48;40.05,116.38;
#4:
>0:39.91,116.52;39.95,116.49;39.95,116.38;39.92,116.36;
#5:
>0:39.88,116.51;39.9,116.44;39.92,116.4;39.91,116.34;
#6:
>0:40.01,116.58;39.98,116.56;39.96,116.62;39.91,116.57;
#7:
>0:40.05,116.39;40.02,116.47;39.99,116.54;39.93,116.51;
#8:
>0:39.96,116.46;39.93,116.49;39.91,116.57;
#9:
>0:40.05,116.34;40.07,116.39;40.05,116.46;40.01,116.53;39.95,116.6;
#10:
>0:39.99,116.54;39.98,116.45;39.95,116.47;39.89,116.52;
