#0:
>0:39.89,116.55;39.87,116.48;39.87,116.41;
#1:
>0:39.89,116.55;39.97,116.63;39.98,116.64;39.99,116.55;40.06,116.61;
#2:
>0:39.93,116.56;39.95,116.5;
#3:
>0:39.86,116.56;39.92,116.5;39.96,116.48;
#4:
>0:39.88,116.5;39.92,116.49;
#5:
>0:39.86,116.63;39.91,116.62;39.95,116.6;39.89,116.5;
#6:
>0:39.94,116.61;39.99,116.56;40.03,116.57;40.01,116.49;
#7:
>0:39.92,116.57;39.94,116.57;39.94,116.64;40.04,116.58;
#8:
>0:40.06,116.36;40.08,116.43;40.04,116.49;40.03,116.48;40.03,116.52;40.07,116.65;
#9:
>0:39.91,116.41;39.96,116.46;40.0,116.51;
#10:
>0:40.0,116.45;40.0,116.52;39.99,116.53;39.89,116.47;
