#0:
>0:39.98,116.45;39.97,116.42;39.96,116.4;39.95,116.36;39.94,116.38;39.93,116.37;
#1:
>0:39.98,116.45;39.98,116.49;39.96,116.48;39.95,116.48;
#2:
>0:39.94,116.36;39.93,116.39;39.95,116.38;39.96,116.37;39.98,116.37;
#3:
>0:39.95,116.43;39.95,116.4;39.95,116.36;
#4:
>0:39.93,116.35;39.94,116.37;39.95,116.39;39.97,116.43;39.97,116.46;39.98,116.43;
#5:
>0:39.99,116.46;39.97,116.42;39.97,116.44;
#6:
>0:39.98,116.46;39.96,116.44;39.97,116.42;39.97,116.39;39.99,116.36;
#7:
>0:39.98,116.38;39.97,116.42;39.96,116.37;
#8:
>0:39.96,116.44;39.98,116.45;39.95,116.38;
