#0:
>0:39.86,116.33;39.91,116.31;39.94,116.27;39.95,116.19;39.99,116.21;40.03,116.27;
#1:
>0:39.98,116.57;39.93,116.52;39.94,116.4;39.95,116.34;39.93,116.27;39.93,116.22;
#2:
>0:39.97,116.53;39.94,116.52;39.9,116.49;39.92,116.44;39.92,116.38;39.96,116.24;
#3:
>0:39.88,116.25;39.89,116.28;39.92,116.32;39.91,116.46;39.88,116.48;39.88,116.58;
#4:
>0:39.96,116.37;40.01,116.35;39.96,116.3;39.94,116.29;39.91,116.37;39.94,116.26;39.89,116.2;39.94,116.23;39.97,116.32;39.96,116.34;40.0,116.35;40.01,116.39;39.98,116.36;39.97,116.3;39.93,116.32;39.9,116.2;39.93,116.22;39.98,116.34;
#5:
>0:39.99,116.31;40.02,116.38;
