#0:
>0:39.98,116.32;39.99,116.33;39.98,116.32;
#1:
>0:39.97,116.3;39.98,116.31;39.98,116.31;39.99,116.3;39.99,116.31;39.99,116.31;
#2:
>0:39.98,116.32;39.98,116.32;39.98,116.32;39.99,116.32;39.99,116.32;39.99,116.31;
#3:
>0:39.99,116.33;39.99,116.33;39.99,116.32;39.99,116.32;39.99,116.32;39.99,116.31;
#4:
>0:39.99,116.31;39.98,116.32;39.98,116.32;39.98,116.34;
#5:
>0:39.99,116.3;39.99,116.31;39.99,116.32;39.98,116.32;39.98,116.34;39.98,116.34;
#6:
>0:39.99,116.31;39.99,116.32;39.99,116.32;39.99,116.32;39.99,116.34;
