#0:
>0:39.93,116.4;39.92,116.38;39.9,116.46;
#1:
>0:39.92,116.36;39.88,116.4;39.89,116.43;39.86,116.43;
#2:
>0:39.85,116.33;39.87,116.32;
#3:
>0:39.95,116.39;39.97,116.41;39.93,116.45;
#4:
>0:39.94,116.45;39.92,116.45;39.88,116.43;39.88,116.4;39.87,116.33;
#5:
>0:40.0,116.3;39.95,116.34;39.96,116.37;39.97,116.38;39.96,116.43;
#6:
>0:39.92,116.31;39.9,116.33;39.92,116.37;39.95,116.39;39.97,116.43;
#7:
>0:39.86,116.3;39.85,116.35;39.85,116.36;39.87,116.4;39.86,116.41;
#8:
>0:39.91,116.36;39.88,116.34;
#9:
>0:39.99,116.33;39.96,116.33;
