#0:
>0:40.52,117.2;40.56,116.99;40.62,116.82;40.47,116.79;40.31,116.51;40.56,116.33;
#1:
>0:40.61,116.8;40.52,116.72;40.48,116.81;40.3,116.95;40.05,117.12;
#2:
>0:40.43,117.02;40.37,117.09;40.2,117.01;
#3:
>0:40.27,117.14;40.1,117.1;39.96,117.19;
#4:
>0:40.49,116.82;40.37,116.9;40.24,116.98;40.04,116.86;
#5:
>0:40.38,116.43;40.23,116.61;40.08,116.79;
#6:
>0:39.94,116.48;39.95,116.72;39.91,116.85;
#7:
>0:40.56,117.05;40.63,116.92;40.45,116.69;40.38,116.55;40.2,116.55;39.99,116.82;
#8:
>0:40.21,116.52;40.08,116.62;40.1,116.83;
