#0:
>0:40.01,116.32;40.04,116.32;40.06,116.31;40.06,116.31;
#1:
>0:39.99,116.32;40.0,116.31;40.0,116.31;40.01,116.31;40.05,116.31;
#2:
>0:40.03,116.33;40.04,116.33;40.03,116.32;40.03,116.31;
#3:
>0:40.02,116.33;40.03,116.32;40.05,116.31;40.08,116.3;40.07,116.3;
#4:
>0:40.05,116.32;40.04,116.32;40.03,116.33;
#5:
>0:40.07,116.3;40.08,116.31;40.06,116.32;40.06,116.33;40.02,116.33;
#6:
>0:40.07,116.32;40.06,116.32;40.05,116.32;40.04,116.32;40.01,116.3;
#7:
>0:40.05,116.3;40.04,116.3;40.02,116.3;40.02,116.3;39.98,116.31;
