#0:
>0:30.84,115.19;32.34,109.43;
#1:
>0:35.91,94.64;34.79,96.2;35.7,96.71;37.49,102.31;34.99,103.88;37.54,113.94;
#2:
>0:34.52,109.12;33.63,104.13;
#3:
>0:30.03,105.14;31.37,99.95;34.77,101.46;36.66,101.88;
#4:
>0:30.4,96.85;32.05,102.41;33.31,101.24;33.58,96.12;37.68,100.58;
#5:
>0:31.99,100.22;34.42,99.72;36.66,101.99;37.39,112.61;
#6:
>0:35.62,109.36;35.12,107.78;36.11,102.1;
#7:
>0:29.72,101.49;31.88,106.03;32.28,112.41;35.09,109.91;
#8:
>0:36.09,104.78;33.83,110.74;31.51,107.85;31.03,108.35;
#9:
>0:34.97,97.14;33.59,102.14;35.93,106.85;35.19,111.25;
