#0:
>0:37.82,105.25;35.67,110.73;
#1:
>0:32.7,97.31;32.04,98.85;
#2:
>0:31.23,91.27;32.96,98.09;31.78,103.51;33.24,103.24;37.69,110.45;
#3:
>0:39.72,91.55;36.89,95.13;37.0,104.53;34.65,103.29;34.03,108.63;
#4:
>0:33.53,105.28;37.49,102.23;37.57,105.9;39.04,100.8;
#5:
>0:35.25,107.8;33.66,103.13;33.77,97.87;30.16,92.61;
#6:
>0:36.45,109.07;35.33,112.98;33.29,111.07;29.65,109.57;
#7:
>0:33.09,96.19;34.47,101.13;36.49,108.12;36.63,98.41;
#8:
>0:36.78,113.75;35.95,108.87;34.21,104.81;32.42,99.71;
#9:
>0:38.32,105.56;39.57,110.06;36.68,116.68;
