#0:
>0:42.41,120.33;41.55,121.64;40.78,122.21;40.37,123.74;
#1:
>0:42.37,120.86;41.61,122.09;41.34,118.57;40.6,116.39;
#2:
>0:42.26,117.77;41.9,118.83;42.35,120.68;
#3:
>0:40.76,118.44;40.12,121.02;39.33,122.91;
#4:
>0:40.6,120.85;40.8,122.45;41.69,122.58;
#5:
>0:41.21,118.63;41.85,117.92;41.99,120.61;
#6:
>0:42.05,126.86;42.16,125.23;
#7:
>0:39.31,121.13;39.1,122.92;39.82,120.81;40.56,119.19;41.33,118.56;42.18,118.46;
#8:
>0:39.03,125.17;40.07,126.62;40.31,126.9;
#9:
>0:41.77,126.1;42.31,125.69;42.41,124.09;41.53,121.88;40.87,118.2;
