#0:
>0:41.07,123.0;40.39,125.71;40.13,124.84;
#1:
>0:41.55,119.31;41.02,119.58;40.5,120.18;40.1,120.17;39.04,118.51;
#2:
>0:40.86,123.51;41.45,125.77;40.6,126.82;
#3:
>0:40.98,125.29;41.26,123.49;40.87,121.6;41.54,118.31;40.48,117.58;
#4:
>0:39.19,120.09;39.77,118.52;39.83,116.48;41.08,117.81;
#5:
>0:39.12,122.91;39.81,121.52;40.76,122.17;40.97,119.14;
#6:
>0:42.46,125.87;42.24,126.52;
#7:
>0:41.53,123.44;40.92,122.67;41.58,120.3;40.71,117.08;
#8:
>0:40.54,126.38;39.78,126.93;39.41,125.71;39.81,122.86;39.62,119.37;
#9:
>0:40.99,123.92;40.31,121.77;41.14,121.32;41.12,117.67;
