#0:
>0:39.79,118.17;39.83,118.77;39.87,119.53;39.91,118.96;39.93,119.41;40.0,119.33;
#1:
>0:39.92,117.44;39.94,117.9;39.95,118.2;39.89,118.77;
#2:
>0:39.96,117.84;39.95,118.61;39.85,119.02;
#3:
>0:39.92,116.45;39.93,116.66;39.92,116.33;39.86,116.88;39.89,116.91;39.94,117.1;40.0,117.78;40.0,118.26;39.93,119.02;40.01,118.43;39.95,119.31;
#4:
>0:39.93,118.64;39.88,119.52;39.86,119.5;
#5:
>0:40.0,118.32;39.96,118.51;39.96,117.06;
#6:
>0:39.87,119.38;39.82,119.22;39.77,119.16;
#7:
>0:39.83,119.59;39.83,118.78;39.84,118.27;39.8,117.59;39.81,117.1;
