#0:
>0:29.11,115.23;26.96,115.59;30.32,114.24;28.52,113.99;27.0,112.12;
#1:
>0:39.1,116.25;36.35,115.09;39.26,114.97;36.7,114.57;35.57,113.16;
#2:
>0:38.73,115.41;37.17,114.5;35.19,114.44;31.97,114.26;32.17,114.84;28.61,116.24;
#3:
>0:35.9,115.69;33.95,114.96;31.01,114.4;29.86,114.54;32.41,113.84;29.54,111.59;
#4:
>0:31.84,112.66;33.03,113.82;34.24,114.42;
#5:
>0:35.67,111.68;35.26,112.75;35.41,113.83;32.68,114.54;33.22,114.74;35.29,115.75;
#6:
>0:37.68,113.83;35.02,114.48;32.86,114.44;
#7:
>0:34.31,114.67;32.28,114.43;30.13,112.79;
#8:
>0:29.96,112.12;31.83,111.63;33.62,112.35;37.6,111.85;
#9:
>0:29.12,115.07;29.13,115.94;
#10:
>0:37.2,114.52;38.77,113.36;39.34,112.53;
#11:
>0:35.23,114.56;32.46,114.24;29.09,112.43;
#12:
>0:30.71,112.16;32.8,111.63;33.87,111.66;
