#0:
>0:39.94,116.36;39.91,116.4;
#1:
>0:39.97,116.51;39.97,116.54;
#2:
>0:39.95,116.49;39.95,116.55;
#3:
>0:39.92,116.39;39.91,116.42;
#4:
>0:39.99,116.46;39.97,116.4;39.96,116.4;39.96,116.35;
#5:
>0:39.94,116.44;39.95,116.44;39.98,116.43;40.0,116.42;40.01,116.33;
#6:
>0:39.97,116.56;39.97,116.49;39.99,116.46;
#7:
>0:39.96,116.48;39.95,116.45;39.96,116.41;39.93,116.39;39.98,116.33;
#8:
>0:39.93,116.43;39.96,116.42;39.97,116.4;40.0,116.41;40.01,116.5;
#9:
>0:40.0,116.36;39.97,116.36;39.96,116.39;39.96,116.43;39.95,116.48;
#10:
>0:39.91,116.38;39.93,116.4;39.94,116.4;39.95,116.37;39.99,116.35;
#11:
>0:39.94,116.39;39.94,116.43;39.92,116.44;39.91,116.48;
#12:
>0:39.98,116.43;39.95,116.46;39.97,116.49;
#13:
>0:39.92,116.41;39.95,116.42;39.97,116.41;40.01,116.43;40.01,116.51;
#14:
>0:39.95,116.5;39.93,116.49;
#15:
>0:40.0,116.49;40.0,116.44;39.98,116.42;40.0,116.44;40.01,116.36;
#16:
>0:40.02,116.45;40.0,116.51;39.98,116.45;39.95,116.4;39.93,116.32;
