#0:
>0:40.0,116.34;39.94,116.36;39.92,116.38;39.9,116.41;39.93,116.47;39.84,116.48;
#1:
>0:39.85,116.35;39.9,116.32;39.97,116.31;40.01,116.32;
#2:
>0:40.0,116.43;39.93,116.4;
#3:
>0:40.05,116.46;40.06,116.47;
#4:
>0:39.85,116.4;39.92,116.37;39.94,116.34;40.0,116.32;
#5:
>0:40.01,116.38;40.0,116.39;39.99,116.45;39.99,116.44;
#6:
>0:40.07,116.42;40.05,116.42;39.96,116.39;
#7:
>0:39.93,116.33;39.89,116.31;39.82,116.34;
#8:
>0:39.87,116.41;39.84,116.45;39.81,116.47;
#9:
>0:40.0,116.36;39.95,116.4;39.92,116.4;39.94,116.47;39.89,116.49;
#10:
>0:39.88,116.4;39.91,116.34;39.96,116.33;40.0,116.33;40.05,116.34;
#11:
>0:40.03,116.36;39.94,116.4;39.91,116.38;39.86,116.38;39.83,116.42;
#12:
>0:39.93,116.4;39.98,116.39;39.97,116.36;40.0,116.33;
#13:
>0:39.99,116.44;40.0,116.46;39.92,116.38;39.88,116.39;39.83,116.39;
#14:
>0:39.88,116.46;39.91,116.4;39.98,116.38;39.98,116.37;40.08,116.4;
#15:
>0:39.93,116.38;39.89,116.39;39.83,116.4;
#16:
>0:39.88,116.46;39.91,116.41;39.97,116.46;40.02,116.43;40.11,116.39;
#17:
>0:39.87,116.45;39.86,116.47;39.93,116.48;39.92,116.48;40.0,116.44;
#18:
>0:39.87,116.33;39.85,116.34;39.86,116.39;39.8,116.42;
#19:
>0:39.89,116.39;39.88,116.42;
#20:
>0:40.03,116.48;40.0,116.47;39.94,116.49;
#21:
>0:39.86,116.45;39.87,116.47;39.93,116.47;40.01,116.43;40.01,116.43;
