#0:
>0:39.96,119.57;39.93,118.97;39.9,119.18;39.78,118.85;39.76,119.1;
#1:
>0:40.03,116.43;40.0,117.14;39.9,117.82;39.85,117.75;39.82,117.66;
#2:
>0:39.83,118.4;39.76,118.22;39.72,117.98;39.78,116.31;
#3:
>0:39.96,116.31;40.0,116.41;
#4:
>0:39.76,118.15;39.8,118.77;39.89,118.68;39.91,118.23;39.99,118.67;
#5:
>0:39.93,117.29;39.92,117.74;39.92,118.22;
#6:
>0:40.07,119.19;40.04,118.21;39.97,118.2;39.87,117.25;
#7:
>0:39.75,118.91;39.81,118.16;
#8:
>0:39.83,119.51;39.89,119.35;39.95,119.0;
#9:
>0:39.78,119.75;39.82,118.97;39.76,118.41;
#10:
>0:40.01,119.18;39.92,118.77;39.92,119.0;
#11:
>0:39.89,116.55;39.85,116.88;39.89,117.43;39.89,118.05;
#12:
>0:39.85,118.49;39.89,117.97;39.85,117.18;
