#0:
>0:34.28,115.11;36.78,114.95;37.51,114.85;38.54,114.27;
#1:
>0:34.39,113.68;32.34,114.4;
#2:
>0:39.57,116.29;38.78,116.26;
#3:
>0:39.84,116.28;38.29,115.52;35.33,115.42;34.45,114.61;33.14,114.18;
#4:
>0:35.88,113.97;36.67,114.02;38.14,114.53;37.45,115.07;
#5:
>0:31.43,113.91;33.46,114.07;32.41,114.72;
#6:
>0:31.84,115.64;32.98,115.01;33.52,114.5;34.43,114.1;30.94,113.8;
#7:
>0:38.68,114.77;37.23,114.98;38.28,115.59;
#8:
>0:32.5,114.44;33.77,114.83;35.96,114.23;38.33,115.11;
#9:
>0:31.64,114.67;33.36,115.37;33.89,115.07;
#10:
>0:35.03,115.47;33.51,115.41;32.13,114.62;31.08,114.38;34.81,113.53;
#11:
>0:39.82,114.74;37.48,115.36;38.08,115.81;
#12:
>0:35.07,115.12;34.79,114.78;35.11,114.44;
