#0:
>0:39.52,116.03;39.57,115.7;
#1:
>0:39.76,116.22;39.66,115.81;39.76,116.59;39.27,116.18;
#2:
>0:39.09,115.12;39.33,115.08;39.43,115.69;39.68,115.76;
#3:
>0:39.48,117.01;39.35,116.94;39.18,117.36;
#4:
>0:39.89,116.96;39.76,116.95;39.61,117.13;39.63,116.69;39.36,117.07;
#5:
>0:39.16,116.24;39.24,116.84;39.44,116.18;39.62,116.96;
#6:
>0:39.28,116.3;39.53,115.88;39.66,116.8;
#7:
>0:39.68,115.23;39.56,115.6;39.86,115.97;
#8:
>0:39.41,116.28;39.61,116.67;
#9:
>0:39.63,116.88;39.72,116.69;39.9,116.68;
#10:
>0:39.26,116.1;39.16,115.41;39.33,115.21;
