#0:
>0:39.13,115.69;39.14,115.87;39.3,116.42;39.53,116.54;39.64,116.25;40.05,116.39;
#1:
>0:39.13,115.29;39.14,115.62;39.49,115.99;
#2:
>0:39.91,116.43;39.58,115.79;39.51,115.53;
#3:
>0:39.75,115.62;39.72,115.75;
#4:
>0:39.39,115.02;39.32,115.58;39.22,115.24;
#5:
>0:39.1,117.46;39.26,116.76;39.37,116.41;39.21,116.39;39.08,115.53;
#6:
>0:39.9,115.25;39.69,115.41;39.68,115.15;
#7:
>0:39.76,115.06;39.62,115.72;39.41,116.01;39.29,116.26;39.44,116.69;39.27,117.13;
#8:
>0:39.57,115.4;39.59,115.18;39.93,115.88;
#9:
>0:39.15,115.77;39.33,116.16;39.46,116.74;39.66,117.21;39.7,116.86;39.89,117.23;
#10:
>0:39.71,115.1;39.98,115.17;39.96,115.98;
