#0:
>0:39.8,116.09;39.56,116.17;39.66,116.64;39.26,116.99;
#1:
>0:39.19,116.36;39.25,116.88;39.35,116.48;39.67,115.86;
#2:
>0:39.14,117.23;39.27,116.83;39.29,116.16;39.33,115.92;
#3:
>0:39.53,115.03;39.33,115.43;39.23,115.75;39.12,116.14;
#4:
>0:39.89,115.24;39.94,115.6;
#5:
>0:39.69,116.47;39.42,116.04;39.48,115.65;39.43,115.14;
#6:
>0:39.98,116.41;39.76,115.93;39.65,115.93;39.41,115.92;
#7:
>0:39.99,117.02;39.76,116.88;39.72,116.87;39.44,116.94;
#8:
>0:39.24,115.95;39.47,116.38;39.55,116.68;39.56,117.16;
#9:
>0:39.65,115.8;39.47,115.93;
#10:
>0:39.98,116.44;39.74,116.43;39.65,116.43;39.61,116.72;39.44,116.9;39.11,116.97;
