#0:
>0:39.45,116.93;39.24,116.64;39.21,116.41;39.12,115.86;39.3,115.65;39.22,115.11;
#1:
>0:39.76,115.54;39.62,115.53;
#2:
>0:39.81,116.3;39.62,115.82;39.39,116.07;39.26,115.88;
#3:
>0:39.71,116.63;39.84,116.41;
#4:
>0:39.86,117.03;39.79,116.54;39.59,116.43;39.54,115.82;39.35,115.84;39.11,116.0;
#5:
>0:39.83,115.89;39.94,116.55;39.77,116.47;39.59,117.03;
#6:
>0:39.62,115.42;39.62,115.94;39.41,115.76;39.67,116.77;
#7:
>0:39.94,115.86;39.75,115.5;39.54,115.33;39.46,115.26;
#8:
>0:39.98,115.65;39.7,115.52;39.63,115.62;39.41,115.69;
#9:
>0:39.78,116.7;39.69,116.27;39.41,116.08;39.26,115.5;39.24,115.12;
#10:
>0:39.53,116.77;39.4,116.34;39.49,115.86;39.4,115.63;
