#0:
>0:33.59,114.86;35.76,115.26;
#1:
>0:38.85,115.03;37.08,115.61;38.42,114.19;34.41,114.13;
#2:
>0:39.02,115.1;38.0,115.5;37.17,113.93;
#3:
>0:31.92,115.76;34.17,115.1;35.94,114.99;
#4:
>0:32.78,115.57;33.65,114.14;31.41,113.38;32.98,112.69;
#5:
>0:37.78,114.26;37.7,115.61;35.73,115.19;32.42,115.47;29.59,113.57;
#6:
>0:38.45,111.79;34.62,112.23;35.38,113.07;34.1,114.47;
#7:
>0:35.13,113.61;36.22,114.62;32.88,114.1;28.44,112.79;
#8:
>0:35.09,114.47;33.99,115.42;31.94,115.82;
#9:
>0:28.13,113.59;31.01,113.63;32.88,114.3;35.94,115.77;
#10:
>0:29.08,115.78;32.01,115.31;29.55,115.55;34.52,113.77;
#11:
>0:33.17,113.21;35.67,113.53;37.43,114.55;39.48,115.56;
#12:
>0:29.65,111.83;32.14,112.2;32.98,113.24;34.6,111.75;38.14,112.25;
#13:
>0:29.67,113.75;32.27,114.54;32.17,115.57;32.28,115.93;
#14:
>0:39.43,116.11;36.96,115.54;34.68,114.14;33.6,114.05;
